Légende : Nom_Augmentation|Prix|Réputation|Faction1, Faction2, ...|Effect1, Effect2, ... .

ADR-V1 Pheromone Gene|$17,500m|3,750k|Four Sigma, MegaCorp, NWO, The Syndicate, Tian Di Hui|+10% reputation from factions and companies.
ADR-V2 Pheromone Gene|$550,000m|62,500k|Bachman & Associates, Clarke Incorporated, Four Sigma, Silhouette|+20% reputation from factions and companies.
Artificial Bio-neural Network Implant|$3,000b|275,000k|BitRunners, Fulcrum Secret Technologies|+12% hacking skill, +3% faster hack(), grow(), and weaken(), +15% hack() power.
Artificial Synaptic Potentiation|$80,000m|6,250k|NiteSec, The Black Hand|+5% hacking exp, +2% faster hack(), grow(), and weaken(), +5% hack() success chance.
Augmented Targeting I|$15,000m|5,000k|Blade Industries, Ishima, KuaiGong International, OmniTek Incorporated, Sector-12, Slum Snakes, The Dark Army, The Syndicate|+10% dexterity skill.
Augmented Targeting II|$42,500m|8,750k|Blade Industries, KuaiGong International, OmniTek Incorporated, Sector-12, The Dark Army, The Syndicate|+20% dexterity skill.
Augmented Targeting III|$115,000m|27,500k|Blade Industries, KuaiGong International, OmniTek Incorporated, The Covenant, The Dark Army, The Syndicate|+30% dexterity skill.
Bionic Arms|$275,000m|62,500k|Tetrads|+30% strength skill, +30% dexterity skill.
Bionic Legs|$375,000m|150,000k|Blade Industries, KuaiGong International, OmniTek Incorporated, Speakers for the Dead, The Syndicate|+60% agility skill.
Bionic Spine|$125,000m|45,000k|Blade Industries, KuaiGong International, OmniTek Incorporated, Speakers for the Dead, The Syndicate|+15% combat skills.
BitRunners Neurolink|$4,375b|875,000k|BitRunners|+15% hacking skill, +20% hacking exp, +5% faster hack(), grow(), and weaken(), +10% hack() success chance, Start with FTPCrack.exe and relaySMTP.exe after installing Augmentations.
BitWire|$10,000m|3,750k|CyberSec, NiteSec|+5% hacking skill.
BrachiBlades|$90,000m|12,500k|The Syndicate|+15% strength skill, +15% defense skill, +15% crime money, +10% crime success rate.
CashRoot Starter Kit|$125,000m|12,500k|Sector-12|Start with $1m after installing Augmentations, Start with BruteSSH.exe after installing Augmentations.
Combat Rib I|$23,750m|7,500k|Blade Industries, Ishima, KuaiGong International, OmniTek Incorporated, Slum Snakes, The Dark Army, The Syndicate, Volhaven|+10% strength skill, +10% defense skill.
Combat Rib II|$65,000m|18,750k|Blade Industries, KuaiGong International, OmniTek Incorporated, The Dark Army, The Syndicate, Volhaven|+14% strength skill, +14% defense skill.
